,Unnamed: 0,Time,Unix Time,Trans_Id,Name,Acc Num,Merchant Name,Merchant Acc Name,Amount,Lat,Long,Is_Safe,Category
33,33,2024-01-05 08:30,1704423600,TID123499,Vimal,8765432109876543,Hotel Booking,TravelStay,200.0,34.0522,-118.2437,Yes,food_dining
34,34,2024-01-07 14:15,1704617100,TID123481,Vimal,8765432109876543,Client Lunch Spot,Executive Bites,45.5,41.8781,-87.6298,Yes,food_dining
35,35,2024-01-09 11:45,1704780900,TID123471,Vimal,8765432109876543,Airline Ticket,Flight Hub,500.0,40.7128,-74.006,Yes,travel
36,36,2024-01-11 15:30,1704967200,TID123493,Vimal,8765432109876543,Rental Car Service,Drive Easy,80.0,37.7749,-122.4194,Yes,travel
37,37,2024-01-13 09:00,1705116600,TID123488,Vimal,8765432109876543,Conference Registration,Biz Expo,150.0,47.6062,-122.3321,Yes,misc
38,38,2024-01-15 13:45,1705306500,TID123483,Vimal,8765432109876543,Mobile Data Plan,Telecom Connect,30.0,36.7783,-119.4179,Yes,travel
39,39,2024-01-17 10:30,1705467600,TID123461,Vimal,8765432109876543,Travel Meals,Food Express,25.0,32.7157,-117.1611,Yes,food_dining
40,40,2024-01-19 14:00,1705653000,TID123495,Vimal,8765432109876543,Business Supplies,Market Link,60.0,33.6846,-117.8265,Yes,travel
41,41,2024-01-21 12:15,1705819500,TID123479,Vimal,8765432109876543,Coffee Shop,Caffeine Fix,10.5,38.9072,-77.037,Yes,food_dining
42,42,2024-01-23 16:00,1706005800,TID123477,Vimal,8765432109876543,Client Dinner Venue,Fine Dining,20.0,40.7128,-74.006,Yes,food_dining
